Wind;Load
0.930231374;120
0.964224078;120
0.980618949;120
0.988300649;120
0.992534756;120
0.994525989;120
0.994887029;120
0.994295994;120
0.927553083;120
0.961447917;120
0.977795583;120
0.985455167;60
0.989677083;60
0.991662583;60
0.992022583;60
0.99143325;60
0.98999575;60
0.982360667;60
0.951798833;60
0.903555;60
0.832004417;60
0.830122917;60
0.802478667;60
0.748071333;120
0.725120667;120
0.75852675;120
0.798151083;120
0.76059025;120
0.686560167;120
0.613739417;120
0.53112725;120
0.492730333;120
0.497812083;120
0.561332667;120
0.64105275;120
0.704467417;60
0.73232375;60
0.741380083;60
0.749702833;60
0.749489417;60
0.740877583;60
0.74158575;60
0.779508;60
0.818727083;60
0.815296583;60
0.77414075;60
0.745604583;60
0.7029405;120
0.651261333;120
0.595038583;120
0.573930083;120
0.566095667;120
0.5439685;120
0.712406167;120
0.758644;120
0.718310667;120
0.70812825;120
0.679879667;120
0.640810917;120
0.611406917;60
0.595728583;60
0.59630275;60
0.616422417;60
0.645769083;60
0.677640917;60
0.725167583;60
0.793765083;60
0.84660875;60
0.84660125;60
0.816189667;60
0.775815167;60
0.734071083;120
0.685816333;120
0.657262;120
0.655675833;120
0.6724935;120
0.680603333;120
0.794434583;120
0.77716025;120
0.561166167;120
0.420657667;120
0.34956325;120
0.312316417;120
0.280073417;60
0.246999167;60
0.232385;60
0.237625667;60
0.25951625;60
0.285841833;60
0.334389333;60
0.50909;60
0.652626833;60
0.702112583;60
0.707035417;60
0.693704333;60
0.676189667;120
0.655668583;120
0.633402417;120
0.609692417;120
0.589714917;120
0.575928;120
0.441141333;120
0.382069;120
0.268709667;120
0.178156917;120
0.223766667;120
0.35312425;120
0.493906833;60
0.576508667;60
0.63026725;60
0.67911475;60
0.7228525;60
0.763232;60
0.797130833;60
0.825731583;60
0.83847825;60
0.848392333;60
0.861379833;60
0.86488425;60
0.858503917;120
0.84248375;120
0.822041417;120
0.798584417;120
0.7680155;120
0.730711833;120
0.839986833;120
0.86061625;120
0.739024417;120
0.512408167;120
0.2826385;120
0.217515917;120
0.233587083;60
0.304256167;60
0.433723083;60
0.577281833;60
0.6961625;60
0.767217583;60
0.808394417;60
0.82283725;60
0.829263667;60
0.819935083;60
0.801748333;60
0.7776805;60
0.7501715;120
0.715774417;120
0.682342083;120
0.65383325;120
0.632680167;120
0.611416917;120
0.428397167;120
0.531813667;120
0.600071917;120
0.374917167;120
0.30074675;120
0.2912025;120
0.325334333;60
0.396918333;60
0.498869833;60
0.605950833;60
0.689209167;60
0.74030625;60
0.735837917;60
0.7907175;60
0.840093583;60
0.849613833;60
0.8220885;60
0.788181167;60
0.758892833;120
0.726693917;120
0.6961135;120
0.671652083;120
0.650754083;120
0.631406;120
0.389244083;120
0.231995583;120
0.289794583;120
0.118876833;120
0.088375833;120
0.10340625;120
0.161850167;60
0.271814833;60
0.4152285;60
0.56230975;60
0.681863167;60
0.757808667;60
0.7735565;60
0.81450825;60
0.857936583;60
0.86951125;60
0.85849525;60
0.833233667;60
0.797060083;120
0.76036375;120
0.72734925;120
0.696231917;120
0.670968583;120
0.648369833;120
0.438643;120
0.180670167;120
0.300769083;120
0.148817417;120
0.122836583;120
0.13364625;120
0.1590385;60
0.201822583;60
0.2631185;60
0.357243417;60
0.4767945;60
0.596302583;60
0.676454667;60
0.806258167;60
0.86720875;60
0.868402333;60
0.846549833;60
0.816441917;60
0.78011375;120
0.741528917;120
0.706002417;120
0.674903417;120
0.64739975;120
0.621610417;120
0.43432175;120
0.131532;120
0.21208075;120
0.1791775;120
0.1739305;120
0.184662417;120
0.195556167;60
0.230349583;60
0.300969;60
0.411309583;60
0.53605725;60
0.659124083;60
0.740527;60
0.840827833;60
0.894604;60
0.908843917;60
0.90909;60
0.9002945;60
0.88454675;120
0.863819667;120
0.852218917;120
0.847198917;120
0.833139417;120
0.806861417;120
0.671072;120
0.5597625;120
0.665217167;120
0.723970333;120
0.699154833;120
0.7268355;120
0.749480833;60
0.776204167;60
0.816226;60
0.855525167;60
0.88488;60
0.904644417;60
0.897194667;60
0.879186917;60
0.875768;60
0.866655583;60
0.848971083;60
0.83620225;60
0.84687325;120
0.865585417;120
0.873074083;120
0.8690655;120
0.846964583;120
0.805991917;120
0.691662917;120
0.75434025;120
0.708098167;120
0.641978;120
0.3495765;120
0.183545667;120
0.12554975;60
0.118673417;60
0.133215;60
0.159340583;60
0.20014525;60
0.268669417;60
0.390438917;60
0.592608417;60
0.671657083;60
0.629399167;60
0.4621235;60
0.2600385;60
0.196560917;120
0.207749417;120
0.27490975;120
0.3378765;120
0.359555417;120
0.38921125;120
0.352689917;120
0.343989833;120
0.538197917;120
0.462138833;120
0.369073917;120
0.266714417;120
0.139183167;60
0.069504333;60
0.050089583;60
0.048462083;60
0.052068417;60
0.06220625;60
0.1055675;60
0.216042333;60
0.358330833;60
0.518505167;60
0.651868167;60
0.727409333;60
0.776612583;120
0.825586583;120
0.79890575;120
0.730701333;120
0.66697375;120
0.603186583;120
0.519255;120
0.64344575;120
0.52575475;120
0.41524425;120
0.359602583;120
0.354012917;120
0.379190167;60
0.405062;60
0.359499;60
0.276719833;60
0.18292025;60
0.095641;60
0.023547583;60
0.023873917;60
0.28977875;60
0.63870525;60
0.79258725;60
0.849493917;60
0.860074667;120
0.8294535;120
0.785859;120
0.739639167;120
0.72514175;120
0.710306333;120
0.72287925;120
0.760114917;120
0.586844417;120
0.37920025;120
0.280081333;120
0.227545917;120
0.168542917;60
0.098547167;60
0.03724575;60
0.01528925;60
0.024712917;60
0.06647625;60
0.13275675;60
0.236327417;60
0.3371195;60
0.448942167;60
0.576750417;60
0.66878625;60
0.722921583;120
0.800033583;120
0.865914583;120
0.828810333;120
0.705682;120
0.588833667;120
0.69068225;120
0.807482583;120
0.728205417;120
0.493076833;120
0.210855583;120
0.06549425;120
0.03394075;60
0.0500185;60
0.091888667;60
0.141858667;60
0.20738875;60
0.27641375;60
0.3940355;60
0.562807417;60
0.699397333;60
0.791412333;60
0.850580917;60
0.860373333;60
0.8057595;120
0.648468667;120
0.37921525;120
0.19256175;120
0.139446;120
0.13996975;120
0.168577417;120
0.19451925;120
0.18386425;120
0.211998667;120
0.298675;120
0.431318167;120
0.56366425;60
0.660260667;60
0.716431917;60
0.742386833;60
0.735275;60
0.72515525;60
0.70603725;60
0.64014575;60
0.561162;60
0.496654;60
0.476380417;60
0.498873083;60
0.525735917;120
0.543294;120
0.576752333;120
0.619664833;120
0.676631333;120
0.745863;120
0.880431917;120
0.95132675;120
0.969293917;120
0.9741985;120
0.977297;120
0.981602667;120
0.9823745;60
0.977220333;60
0.9690845;60
0.961559583;60
0.95548875;60
0.93281575;60
0.872603417;60
0.842591917;60
0.77116425;60
0.717904167;60
0.737195833;60
0.752833;60
0.699643083;120
0.67414325;120
0.660642;120
0.657371417;120
0.657196333;120
0.659961667;120
0.683877833;120
0.811448167;120
0.868379333;120
0.895268583;120
0.916855917;120
0.936013;120
0.948826417;60
0.953531;60
0.9572805;60
0.958264583;60
0.950363667;60
0.923022167;60
0.820999;60
0.697760667;60
0.656597917;60
0.6345915;60
0.607918583;60
0.59384775;60
0.611416333;120
0.586561833;120
0.493734;120
0.448082167;120
0.501800167;120
0.472166083;120
0.444799417;120
0.660278083;120
0.8330605;120
0.91404375;120
0.955025917;120
0.9687155;120
0.96458475;60
0.950799417;60
0.930637667;60
0.902559917;60
0.8712705;60
0.844605167;60
0.806525917;60
0.704477333;60
0.551155083;60
0.405073583;60
0.352371667;60
0.402193667;60
0.46426275;120
0.505412333;120
0.504717;120
0.520842667;120
0.58907025;120
0.671650333;120
0.730687917;120
0.876026333;120
0.912934667;120
0.91770925;120
0.920794833;120
0.913850667;120
0.892749;60
0.858559833;60
0.808279917;60
0.762801667;60
0.750173833;60
0.769513833;60
0.785395083;60
0.792532667;60
0.699622333;60
0.616883;60
0.5381965;60
0.498858083;60
0.49066775;120
0.465111667;120
0.454789667;120
0.456382083;120
0.49562975;120
0.498104333;120
0.449557083;120
0.63650875;120
0.7021045;120
0.74094475;120
0.780135833;120
0.816228083;120
0.814539833;60
0.782071667;60
0.754347417;60
0.701748;60
0.627606083;60
0.544194667;60
0.47213475;60
0.481234417;60
0.548285;60
0.6181885;60
0.65097075;60
0.647359917;60
0.571107667;120
0.49798325;120
0.485953333;120
0.469418833;120
0.415268167;120
0.349568083;120
0.26251075;120
0.566896583;120
0.75222625;120
0.846577583;120
0.88968425;120
0.905624083;120
0.891492917;60
0.860653833;60
0.831225167;60
0.806939917;60
0.780355;60
0.74296425;60
0.71004525;60
0.67165825;60
0.65631175;60
0.64079875;60
0.614134417;60
0.538197833;60
0.441573333;120
0.363363667;120
0.315379333;120
0.266208167;120
0.221245667;120
0.174324583;120
0.096643167;120
0.170178583;120
0.143037333;120
0.09481975;120
0.069127833;120
0.063298583;120
0.063403833;60
0.062239;60
0.072599917;60
0.103574833;60
0.2077455;60
0.45178725;60
0.766923417;60
0.889190167;60
0.909262;60
0.930317833;60
0.951347417;60
0.9570105;60
0.942417083;120
0.91909125;120
0.897326417;120
0.8750595;120
0.854037;120
0.823288417;120
0.826705;120
0.814545167;120
0.71717375;120
0.572571167;120
0.444482167;120
0.354991333;120
0.28980125;60
0.272960583;60
0.303436667;60
0.356538917;60
0.419036083;60
0.508966667;60
0.594258583;60
0.627002083;60
0.561164833;60
0.419271167;60
0.25449825;60
0.151472083;60
0.113519417;120
0.109394333;120
0.10604775;120
0.099836583;120
0.094591167;120
0.0957245;120
0.07782375;120
0.18481625;120
0.222170833;120
0.106966667;120
0.038439083;120
0.011060417;120
0.0023705;60
0.003001583;60
0.0163575;60
0.056277917;60
0.120026833;60
0.194869;60
0.300777583;60
0.462124;60
0.639938667;60
0.766593583;60
0.814594167;60
0.800645333;60
0.750289083;120
0.702093667;120
0.667131;120
0.636748083;120
0.6377435;120
0.685715833;120
0.659370167;120
0.693712917;120
0.87467225;120
0.831445917;120
0.711616583;120
0.554022667;120
0.382071167;60
0.2415805;60
0.159264083;60
0.120935167;60
0.11522325;60
0.133231333;60
0.169301417;60
0.225825;60
0.264021417;60
0.293331583;60
0.331653583;60
0.415277083;60
0.574979583;120
0.718667333;120
0.75956875;120
0.683325917;120
0.537615833;120
0.405064833;120
0.232969333;120
0.156678333;120
0.164808917;120
0.179823167;120
0.15280125;120
0.098614333;120
